resp_lat_mean,resp_lat_std,resp_lat_min,resp_lat_max,resp_lat_med,resp_lat_n,resp_lat_cv,overlap_ratio,interrupted_n,stop_delay_mean,stop_delay_std,stop_delay_min,stop_delay_max,stop_delay_med,stop_delay_n,silence_broken_by_caller,gap_mean,gap_std,gap_min,gap_max,gap_med,gap_n,caller_turn_mean,caller_turn_std,caller_turn_min,caller_turn_max,caller_turn_med,caller_turn_n,caller_turns,agent_turns,turn_ratio,dur,caller_turns_per_min,agent_turns_per_min,interrupted_n_per_min,silence_broken_by_caller_per_min,gap_n_per_min,resp_lat_n_per_min,anon_id,y,split
2.185000000000001,1.946965587780122,0.5,7.079999999999998,1.0799999999999996,16.0,0.8910593577669397,0.3487445197289754,2.0,1.769999999999996,0.730000000000004,1.039999999999992,2.5,1.769999999999996,2.0,7.0,2.3066666666666658,1.453119250287311,1.1599999999999966,6.219999999999999,1.5200000000000102,15.0,1.7921428571428564,2.0757328432952766,0.28,9.34,0.8099999999999952,28.0,28.0,18.0,1.5555554691358071,146.0,11.506849315068495,7.397260273972603,0.8219178082191781,2.8767123287671237,6.164383561643836,6.575342465753425,call_0615c3630150,0,train
3.034000000000001,0.6822345637682123,2.1599999999999966,4.400000000000006,3.009999999999998,10.0,0.22486299897996476,0.06101694915254227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.385,0.8547075523241846,1.3399999999999963,4.400000000000006,2.0899999999999963,16.0,1.9666666666666668,1.5033370288202919,0.21999999999999886,4.479999999999997,1.3900000000000006,12.0,12.0,17.0,0.7058823114186875,140.0,5.142857142857142,7.285714285714286,0.0,2.571428571428571,6.857142857142857,4.285714285714286,call_064d8dd77899,1,train
2.6985714285714266,1.6171838712618258,1.4400000000000048,8.079999999999998,2.1299999999999955,14.0,0.5992738435106344,0.09651162790697729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.254285714285714,1.5460628072887688,1.4400000000000048,7.739999999999995,1.7600000000000051,14.0,4.300000000000001,6.129388223958408,0.20000000000000284,19.28,1.009999999999998,12.0,12.0,16.0,0.7499999531250029,133.0,5.413533834586466,7.2180451127819545,0.0,2.255639097744361,6.315789473684211,6.315789473684211,call_06b5a78ea12e,1,train
4.087692307692305,2.717119951051549,1.6599999999999966,9.28,2.9599999999999937,13.0,0.6647073903363584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.9799999999999982,0.6062782639459658,1.019999999999996,3.3000000000000007,1.9599999999999973,15.0,2.236666666666666,2.4515278682668242,0.38000000000000966,8.879999999999995,1.2699999999999996,12.0,12.0,13.0,0.9230768520710114,115.0,6.260869565217391,6.782608695652174,0.0,4.173913043478261,7.826086956521739,6.782608695652174,call_0847d7417bb1,1,val
2.7799999999999985,2.1197753699502258,0.10000000000000142,8.32,2.8200000000000003,21.0,0.7625088515976169,0.4333034914950758,7.0,2.1885714285714255,1.4708542568514276,0.03999999999999204,4.159999999999997,2.5999999999999943,7.0,5.0,1.645333333333332,0.9061998798401063,1.0399999999999991,4.859999999999999,1.2800000000000011,15.0,1.6548148148148156,1.9012556676719188,0.259999999999998,7.560000000000002,0.740000000000002,27.0,27.0,25.0,1.0799999568000016,135.0,12.0,11.11111111111111,3.111111111111111,2.2222222222222223,6.666666666666667,9.333333333333334,call_092aef8d1243,0,train
4.269230769230768,1.7480646948882625,2.539999999999992,8.96,4.039999999999992,13.0,0.409456499290323,0.020091848450057473,2.0,0.3500000000000014,0.07000000000000028,0.28000000000000114,0.4200000000000017,0.3500000000000014,2.0,9.0,2.510588235294117,1.1745160234212872,1.1000000000000014,4.6,2.539999999999992,17.0,3.871111111111114,1.9738763016767273,0.8199999999999932,6.66,3.8200000000000216,9.0,9.0,17.0,0.5294117335640156,147.0,3.6734693877551017,6.938775510204081,0.8163265306122448,3.6734693877551017,6.938775510204081,5.3061224489795915,call_098d8081babe,1,train
3.7783333333333338,2.2407656181661557,2.1599999999999966,8.899999999999999,2.480000000000004,12.0,0.5930564689306624,0.026722925457102368,1.0,0.23999999999999488,0.0,0.23999999999999488,0.23999999999999488,0.23999999999999488,1.0,7.0,2.090769230769232,0.4646663242579648,1.2399999999999984,2.92,2.1799999999999997,13.0,2.3699999999999988,2.334544923534351,0.28000000000000114,7.880000000000003,1.3999999999999986,12.0,12.0,14.0,0.8571427959183717,101.0,7.128712871287129,8.316831683168317,0.594059405940594,4.158415841584159,7.7227722772277225,7.128712871287129,call_099dffdf8486,1,train
3.2507692307692295,2.6549299904965227,1.2000000000000028,9.539999999999992,1.4000000000000021,13.0,0.8167079805785864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.4439999999999988,0.4818962543950716,1.1600000000000001,3.1599999999999966,1.2999999999999972,15.0,2.760000000000003,1.2291227998629148,0.960000000000008,5.119999999999997,2.6600000000000037,7.0,7.0,20.0,0.34999998250000086,117.0,3.58974358974359,10.256410256410257,0.0,3.58974358974359,7.6923076923076925,6.666666666666667,call_0a9c546208d1,0,train
2.516923076923078,2.419381308756388,0.1599999999999966,6.960000000000001,1.4399999999999977,13.0,0.9612452480942789,0.1460746460746462,3.0,3.8000000000000007,3.617881516394182,0.35999999999999943,8.8,2.240000000000002,3.0,8.0,2.2544444444444443,2.007362067275309,1.1799999999999997,9.94,1.4800000000000004,18.0,1.828235294117647,2.234531758541551,0.21999999999999886,9.38,0.9400000000000001,17.0,17.0,19.0,0.8947367950138528,129.0,7.906976744186047,8.837209302325581,1.3953488372093024,3.7209302325581395,8.372093023255815,6.046511627906977,call_0ab7d2a0c0f5,0,train
4.656249999999999,2.2849969228644493,1.8999999999999986,9.319999999999993,3.970000000000004,16.0,0.49073748877894463,0.036102484472049876,3.0,2.0666666666666695,2.133687470606277,0.2400000000000091,5.0600000000000005,0.8999999999999986,3.0,11.0,2.3011111111111098,1.0489459730229145,1.0399999999999991,4.74,2.1199999999999974,18.0,3.0305882352941182,1.9485272586003648,1.079999999999984,7.099999999999994,2.3200000000000074,17.0,17.0,19.0,0.8947367950138528,159.0,6.415094339622642,7.169811320754717,1.1320754716981132,4.150943396226415,6.7924528301886795,6.037735849056604,call_0cf2f4a71328,1,val
